Extracted Text,Response
"confusion, distraction, unfocused, lack of accomplishments, disappointment, stuck",If you are a peoplepleaser type or a natural caretaker you can slowly lose yourself over time if you are always tending to the needs of others and neglecting yourself  If this sounds like a familiar pattern for you this may have happened without you even realizing it if you were raised in a family where you had to pick up the slack alot  Maybe your parents were addicts or they might have even just worked all the time and you learned to take care of everything because that is what you had to do to help the family run smoothly Over time a person who grows up in this type of environment learns that you put the needs of others before your own  You might also be stuck in these types of patterns in intimate relationships as well if you completely give yourself over to your significant other and you dont create a life for yourself with your own interests and supportive friends you are at risk of losing what is unique and amazing about you  If you grew up in a family where you learned this role out of survival or because it was needed to take care of your family its easy to recreate this in adult relationshipsIn both scenarios if there is no awareness that this self sacrifice at the expense of others is going on your identity is shaped around being a caretakerenablerpeoplepleaser and down the road it can lead to depression low self esteem and a confused sense of self  Basically you spend so much time helping other people that you dont make time for yourself or create a life of fulfillment  Before you realize it you have been living a life for others instead of yourself and you have no idea who YOU are  Supporting loved ones and friends is important and certainly admirable but if you are always that person that rescues those that rely on you begin to take advantage of you and they will suck you dry if you let them  In conclusion learning to set boundaries with those in your life that are too needy becomes a really important part of the process when you begin to recognize that you are unhappy and unfulfilled in life  It sounds like you may be at that crossroads right now  Take one small step at at a time  Identify the worst offenders in your life that suck time and energy and limit your contact andor set some strong boundaries with those people so you can refocus and do some soulsearching  Meanwhile engage in pleasurable activities with people you enjoy being with get yourself outside in the fresh air get some good sleep and eat some nourishing food
"wished for an accident, feel like I just shouldn't be here, wish I wouldn't have been born, chore, sign of something",Sounds like a sign of great unhappiness or sadness or insecurityThe real way youll find out what this feeling is about is to ask yourself your own question  Inside you are the only one who will feel when you discover the true answer to your questionEveryone feels some amount of discontent in their lives once in a while Its normal to not feel entirely happy all the timeTry to accept your unhappiness as motivation to learn more about who you are what you like whom you likeStudy yourself bc this way you increase the chance to find a road which feels right and happy
"smile, fake, happiness, show love, hate myself, loss of a loved one, not close to family",Trust and believe your own feelingsEmotions are real and reflect how someone feels about a situationSince youre sad about losing a loved one be patient w your feelings about this  Basically be guided by how you feel and eventually you will feel different emotions which I hope will be happier ones
"depressed, quit drinking, move, help, stay",Youre probably not going to like my answerYour question says a lot about what YOU want rather than what she wants or what may be best for her Sometimes whats best for a person is the hardest thing to do and may be completely opposite of what YOU wantAddictions dont happen in a vacuum If youve had any experience with addicts at all then Im sure youve heard the term enabler A lot of the times when people think theyre helping theyre actually enabling the addict to continue their selfdestructive behavior Tough love and clear boundaries are needed in a lot of situations but especially with addictions Family and friends are often the biggest contributing factor to someone choosing to usedrink continuing to do so or relapsing back into itYou said she recently quit You said she is depressed She wants to move When a person receives counseling for addictions they are encouraged to make changes like this They need to break the habit and this means removing people from their lives at times It means moving to new locations Anything that may trigger a relapse needs to be identified and removed Not only that but the addict needs to do a lot of personal reflection to figure out WHY they usedrink in the first place and not only break the physical addiction to it but deal with whatever is the root cause that led them to use in the first place She may need some time alone to figure out who she is as a person time to make some decisions for herself and do what she needs to do to be healthyDont pressure her to stay Let her have the freedom to do what she needs to do If she stays the decision needs to be hers and hers alone It doesnt need to be made under pressure That will only lead to resentment Support her but dont try to change her or make her do anything especially for selfish reasons Let her go It sounds like she needs some time to focus on herself right now It wouldnt be a bad idea for you to do the same
"teenager, dad in jail, tough, normal life, parent role, not stable, overdramatic, hurt, breaking down",Each person handles themselves differently in any situationSince you are willing to speak about how you feel keep looking for blogs and forums on whatever topics you feel most describe your current circumstanceYour mother and sister even though they are family seem to prefer the opposite method to yoursFind your own path of supportive other people and possibly a therapistThis way youll have understanding and validation which your mom and sister dont want to give you right now
"lost identity, unhappy, trapped, loathe myself, amazing life, enjoy",Good for you on being sensitive to your human need for personal evolutionWife and mother are meaningful positions  And in your case in order to feel your own growth other areas of who you are would like your attentionGive yourself time to allow your interest to wander in order to find the area of growth which will satisfy youJust like you know now that youd like more than your current situation trust yourself to know you will also know when youve arrived at another road youd like to take for your own happiness
"depression, anxiety, medication, worse, counseling",Thank you for asking this important question I find that there are three steps to getting ready for treatment Step one is expressing interest in wanting to receiving treatment for the outcome of positive behavioral change Congratulations you did the first step You are showing your readiness to start counseling by asking this question Now the second step is to find a counselor who specializes in treating clients with Anxiety and Depression The therapeutic orientations I have found to be helpful in treating clients with  Anxiety and Depression are a combination of Cognitive Behavioral Therapy with Mindfulness and Solution Focused Brief Therapy Receiving meditation for your symptoms if part of the treatment and the other part is receiving counseling to increase your resilience for future events Research has found that medication and psychotherapy treatments together shows the most effective outcome for Depression  The third step is to increase your positive selftalk to motivate yourself to attend treatment As counselors we are aware of the anxieties and fears that are associated with talking to a new professional for the first time However remind yourself that you are doing this to improve your well being I hope this was helpful and good luck with your treatment journey
"feel like I belong, good time, close, out with friends, never go home",From the little bit you wrote my guess is you havent figured out where and how to lay down your own set of rootsUsually people who have a university level eduction are old enough to work in order to support themselvesUnless you have a medical condition which limits or prevents you from working a fulltime job would you guess that the effort and thought involved in deciding in what professional area and geographic location to look for work would offer you a way to establish your identityMy suggestion is to pay more attention to your own likes dislikes and interests   To know these areas more deeply would define the type of people with whom you identify have a common interest and with whom youd like to socializeThe more you realize who you are the easier time youll have to find likeminded others and feel securely at home with them and yourselfAgain if you have a medical disability or condition which prevents employment or easily socializing with other people then this advice would need to be modified for your specific strengths
"worried, major depression, shut off, empty inside, anger, sadness, get help, refuses",First of all I can tell that you really care about your friend and I think its great that you are reaching out with your concern Its hard to determine whether your friend would meet the criteria for an official diagnosis of depression without working with him however whether he does or not therapy may be beneficial for him in working through these difficult feelings and relational challenges Unfortunately you cant make your friend get help He will ultimately need to make that decision for himself however you can talk to him about your concerns and your hopes that he will reach out for help
"jaded, cannot control my thoughts, cannot focus, anxiety attacks",Maybe your thoughts require your attention and the best course would be to pay attention and follow themIf youre in an especially stressful or uncertain time in your life then the best way through is to understand the tension you feelIt keeps trying to get you to know whats going on deep within youAnxiety is a sign of stress and weariness  Your thoughts are a chance to simply rest and know what they would like you to knowThen when that process is finished your anxiety will no longer be necessary and will most likely leave you alone
"sad, irritated, feeling, comes and goes, every day, making up symptoms, problems, actually wrong","Feelings are real is very unlikely that you are making them up since they are a response to the thoughts in your mind and your daily experiences and interactions Often we assume that feeling sadness is bad and that we should only feel happiness and joy but all feelings have a purpose joy sadness anger frustration excitement anxiety among others   Is not healthy to experience the same feeling for a long time so we should learn to identify what causes them and how to process them so you can navigate through life experiences with more ease I am a Licensed Professional Counselor in Texas currently providing services in West Houston  You may reach me at 7874665478 to schedule an appointment   Me he estado sintiendo tristeCuando salgo con una persona en particular o cuando llego a casa estoy triste o irritado  El sentimiento viene y va todo el día No sé qué está mal  No estoy seguro si estoy inventando los síntomas y problemas en mi cabeza o si algo realmente está mal Los sentimientos son muy reales y es muy poco probable que los estés inventando por que los sentimientos son una respuesta tanto a los pensamientos que hay en nuestra cabeza y a las situaciones que nos ocurren día a día  Muchas veces pensamos que sentirnos triste está mal y que solo debemos sentirnos alegres pero todas las emociones tienen un propósito y razón de ser tanto la alegría como la tristeza el coraje la frustración la excitación o el desespero entre otros  No es bueno quedarnos estancados una emoción  Así que es importante aprender a identificar que causa nuestros sentimientos como procesarlos para poder superar nuestras emociones y movernos de una experiencia a otra con más tranquilidad 
Soy Consejera Profesional Licenciada en Texas y Puerto Rico veo clientes en el este de Houston y proveo servicios de tele terapia  Para una cita puedes llamar al 7874665478"
"episodes of depression, panic attacks, can't control fears, can't care if live or die, freeze completely, talk to parents, talk about feelings","I understand that talking about our feelings can be awkward and using jokes is a way to relieve that awkwardness but there is a right or wrong way to talk about your feelings The important part is to recognize that you need help addressing those feelings and reaching out which you are doing already  Having small conversations with your family is helpful you can explain to them that you have been experiencing emotional discomfort and would like to talk to them about it   Since you been experiencing anxiety panic attacks and have thought about dying  It is VERY important that you ask them to help you make an appointment with a mental health professional  Those symptoms indicate that your body is having a hard time managing intense feelings and it will be helpful if you understand why they occur and how to cope with them You may contact your school counselor or you may schedule an appointment with a local therapist  You may contact the Texas Crisis Hotline 8009896884 where you can talk or chat with mental health professionals or schedule a teletherapy session   The National Crisis Hotline is also available for calling and texting 18002738255I am a Licensed Professional Counselor in Texas currently providing services in West Houston  You may reach me at 7874665478 to schedule an appointment   Cómo hablo de mis sentimientos de depresión y con quién habloSoy un adolecente  He estado experimentando episodios de depresión severa si es lo que creo por muchos años  Siempre se pone peor  He estado teniendo ataques de pánico sintiendo que no puedo controlar mis miedos y sintiendo que ya no importa si quiero vivir o morir  El problema es que ya no sé a quién pedirle ayuda  Cuando intento hablar con mis padres Me congelo y solo puedo hacer bromas porque nunca en mi vida hemos hablado de nuestros sentimientos Entiendo que hablar de tus emociones puede hacernos sentir inadecuados y bromear es una manera de manejar ese sentimiento incómodo pero no hay forma correcta o incorrecta de hablar sobre tus sentimientos  Lo importante es reconocer que necesitas ayuda para manejarlos y ya tu estas en ese proceso  Tener pequeñas conversaciones con tu familia te ayudara a explicarles los sentimientos que estas experimentando  Es importante que les pidas hacer una cita con un profesional de la salud mental ya que has estado experimentando síntomas que indican que tu cuerpo ya no puede manejar tus sentimientos y necesita nuevas herramientas  Puedes contactar a tu consejero escolar o a un proveedor de salud mental cerca de ti o por teléfono  Mientras tanto puedes llamar a la línea de crisis de Texas 8009896884 para hablar con un profesional de salud mental  La línea nacional de crisis también esta disponible en todos los Estados Unidos y proveen servicios en español 18002738255
Yo soy una Consejera Profesional Licenciada en Texas y Puerto Rico veo clientes en el este de Houston y proveo servicios de tele terapia  Para una cita puedes llamar al 7874665478"
"lazy, numb, no interest",Maybe right now it is time for you to rest before the next wave of new activity comes alongTo have no interest may mean you are already so saturated with recent situations and their meaning that you are naturally withdrawing in order to regain your energy
"struggling with, diagnosed depression, anxiety, Misophonia, Borderline Personality Disorder, Avoidant Personality Disorder, self-diagnosing, right research",Any diagnosis is limited in its usefulnessKnowing the name of some typical ways you may feel think and behave doesnt help you or anyone to understand why the person is the way they are and how to change any of these characteristicsBoth selfdiagnosing and being diagnosed are equally unhelpful to know why you are the way you are and what to do about itConsider yourself a person who wants to find a better way to be who you are and this will get you further with better results than to read a list of descriptions which all are very indicting and negative sounding
"lonely, alone, depression, make new friends, need help",Definitely it is sad to lose friends who are a regular part of daily lifeHow did you meet the two friends who just moved away   Its possible that you could look for similar situations and see if anyone catches your interest to know as a friendKeeping in mind that friendship is based on trust and common interests and that these qualities require time to observe and develop think of what you can do to keep happy while these paths unfoldIn addition to being open to meeting new friends involve yourself in projects from which youll feel satisfied by your own results
"problem, argue, worthless, crying, sleep, family, cant stand",I am so very sorry for how pressured and sad you feel right nowDefinitely all family members have an effect on the other onesFrom what you write your family members are not considering the effect their negative comments have on youAlso keep in mind that each person is responsible for deciding to argue or find a different way to discuss a problem You are not in control of the other people in your familyMore likely they take the easy way out and blame you for what they dont want to know about themselvesStay aware that the familys decision to target you doesnt mean that you are doing something wrong   Certainly your existence is not wrong which is the degree to which the unfairness seems to have spreadWhat to do about it is read about family systems to see more explanations on how you are being unfairly treatedAlso stay in touch with friends bc these are the people who value and respect you
"depressed, anxiety, picking at skin, causing fights, million miles a minute",One way to know yourself a little better and why the dynamics you describe take place is to understand the particular dynamics of your life contextLook at your major areas of where you spend your time whether you are happy with the people with whom you socialize how you feel toward family members and how they seem to feel toward youIf you examine your relationships and life this way then you may start to notice areas where you have some control or at least a say in how your life is goingIf you are socializing among people whom you dont like have a job you dont like and your family mistreats you and you mistreats them for example then anxiety and depression are an understandable natural resultIf you make improvements in your life and relationships even tiny improvements and even the effort and intention to improve you may find your anxiety and depression dissipatingPeople usually feel their worst when they feel lack of control in their lifeLook for ways you can regain andor strengthen yours
"depressed, find someone to talk to",You have already taken the brave first step of making the decision to heal from it and find a professional that will help you do so There are lots of different options nowadays for therapists as you can see them online or in an office  My biggest tip for you is to use Psychology Today or Counsel Chat to find a therapist  Enter in your zip code and you will find many different therapists you can talk to  Be sure to find someone that you most resonate with and ask them any questions you may have Many  times therapists will provide free consultations and this can be a great opportunity to see if you are a good fit
"bad mood, no energy, depression",Depression has many different signs and symptoms and looks different for every person  Often times people think depression is more about feeling sad but depression can in fact express itself through irritability or bad mood as you say and lack of energy  According to the DSMV Diagnostic and Statistical Manual of Mental Disorders depression includes the following symptomsDepressed moodIrritable moodDecreased interest or pleasure in activities you usually participate in or enjoySignificant weight change or change in appetiteChange in sleep insomnia or hypersomniaPsychomotor aggitation or retardationFatigue or loss in energy Feelings of worthlessness or excessive guiltDiminished ability to concentrate or indecisivenessThoughts of suicide or plan The great news is that there are many ways to improve depressive symptoms  If you are up for it perhaps the best place to start is by seeing a physician or a therapist who can help determine how severe the depression is and can suggest methods of addressing the depression that fit your lifestyle values and capabilities  Good luck
"late teens, live with dad, college classes, see friends, want to talk, not want to talk, feel not worth knowing, never going to do anything right, depressed","I wouldnt necessarily say you are clinically depressed based on
that first paragraph in your question Because that could describe more
introverted behavior people who feel more energy from a more internal approach
as opposed to those who feel more energy from being among others It is more
in the second paragraph that I would be inclined to say that further
exploration is definitely needed The diagnosis of Major Depressive Disorder is
more than just those two symptoms but there are more mild forms of depression
that can be equally damaging to someone if left untreatedHowever one of the trickiest parts of this is that someone who
feels they are not worth knowing may also believe they are not worth having a
therapist know them and even less worthy of being helped Do you feel that
might be you If so could we acknowledge that as a part of the big picture
and all wrapped up in these feelings about yourself and realizing that
thoughts and feelings arent always rational in that you are worth getting the
helpMy recommendation just from the information would be that you seek
out a supportive listening ear in the form of a therapist who can allow you
the space to express some of these difficult experiences and help you name FOR
YOURSELF what your struggle is To empower you to name it for yourself as
opposed to everyone labeling andor judging you for it might be an extremely
worthwhile start for you"
"trouble falling asleep, staying asleep, extremely hungry, not hungry, angry, crying, down, depression, help",Sounds like signs of someone who is depressedSince the person in question is your friend offer your friendship to listen to any situations or feelings she has about herself and the way her life is goingDepressed people are often lonely people and feel as though no one around them cares or notices them  Your willingness to be available to her may lift her spirits  Feeling loved goes a long way to dissolving depressed feelingsAlso if in the beginning when you offer to talk there is a high chance shell be defensive and turn down your offerTry again on another day and then another dayWhen people feel depressed they usually shut down  So you may need a few or several tries before your friend accepts your offer to show her you care about how she is doingAlso watch for signs within yourself that your friends depression is not sinking your emotions  Depressed people are draining to be around because they often see and talk about only the negatives and drawbacks of situations
"moodiness, extreme feelings, empty, emotionless, trust issues, low self esteem, fear of abandonment, reevaluate relationships, not happy, happy",Sometimes the way to feel happy is to address all the questions you just describedTeenage years are the first time any of us starts to feel and recognize our uniqueness  The fact that you recognize your great range of feelings as uncomfortable as they may sometimes be is healthyAlso healthy is that you are asking for opinions of therapists who would be familiar with when a range of feelings shows an out of the ordinary problemOne path to take is to reflect on the topics you wrote here and especially to ask yourself your reasons for how the problem started and what it would take for it to resolveDo you have trust issues because someone broke your trust Youre entitled to a repair of your trust by the other person   Even if the person never offers this to you to know you deserve to be restored to whole may help you feel more secureThe same is true with the other topics abandonment and relationships generallyThe more you continue to value your unique understanding expectations and standards the more likely youll create relationships which do not have these qualities and you will restore your sense of hope that other people may treat you in a fair and kind way
"troubled upbringing, dealing with a lot, overwhelmed, depression, therapy, counseling",What matters most is how you feel and what youre doing with whom youre interacting whether you feel youve got enough interaction to be happyWhether or not a clinician would decide to identify you as depressed matters much less than how you actually are feeling if you have some ideas as to what might improve your sense of being and how to go about reaching your goalsIf therapy during your childhood made you feel better and you feel you may be depressed then trying therapy at this point in your life makes senseThe worst that can happen is you find you feel better than you first understoodThe best that can happen is you find a caring therapist who helps you find faith in yourself again
"depressed, sleep in, eat, smoke weed, watch movies, go on phone, unmotivated, angry, negative, distracted, help",How do you help yourself to believe you require more than what he offers to youWhat do you get from this relationship which feels satisfyingTo answer this question may in the longterm be the best way to help your bf
"depression, combative, unsupportive, uncomfortable, instigate conversations, arguments, understand",Your situation sounds extremely frustratingYoure doing the right move to state you dont want to discuss your depression with herI guess you could ask if she would like to know your reason to not speak w her about your depression  If you feel she can handle a reasonable conversation and you would like to tell her your true reason then schedule this or bring up the topic at a neutral time not in the middle of an argumentHaving an unsupportive mom is difficult enough to accept  You may feel greater success and peach of mind to meditate on accepting her lack of understanding than to engage in arguing when she starts this
"sad, family issues, feeling controlled, feeling restricted, not liking family members",HelloWhile one can be sad from time to time feeling sad all the time could be a sign of depression If you feel sad on most days it is worthwhile speaking to a psychologist to determine whether you suffer clinical depression Feeling sadness is a normal response to loss whether you lose a family friend job or something you deem important in your life However feeling sadness all the time is a signal that you are not happy about something in your life If it is related to your family and often relationship with family members could affect our selfesteem and selfworth then perhaps it is worthwhile exploring what you find unhappy about your relationship with your family Is it that you do not feel heard supported or loved Is it that you feel disrespected disregarded or feel unimportant These are just a few examples of common issues that people report that contribute to their depression To help you to uncover your reasons for your sadness or depression and to cope with them in a healthier and more constructive way it may be helpful to contact a therapist who could support you with this process You do not have to deal with it alone Dr Virginia Chow Montreal Psychologist For more information about depression please consult my website at wwwPsychologyResourceca
"anxiety, feel any emotion, not even for myself",Thank you for posting  Im interested to hear some more information such as if you live by yourself or family if you go to schoolemployedunemployed and what kind of things do you like to do with friends or by yourself  Often times when we are experiencing a strong emotion that we interpret as negative we put most of our focus on that negative emotion and struggle to see that we do not always feel that specific emotion  There are typically points in the day even if it is for only in 1 minute intervals when we do not feel that negative emotion  When we overgeneralize we use words like always or never and when we use those words and it may not be totally true we feel the negative emotion based on an inaccuracy which is not fair to you  Ask yourself some of these questions Am I being realistic when Im overgeneralizing things Have I ever noticed a short period of time that I wasnt feeling anxious  What do I notice when I am feeling anxious What am I thinking about  When was the last time I felt empathy  What was different when I was able to feel empathy  Hopefully this helps get you started
"depression, deal with, dont know, dont want, tell anyone, deal with depression, without telling anyone",Love yourself more and treat yourself kindly with empathy and compassionUsually when people feel depressed they also feel lonely and isolated  Since at this time you wouldnt want to tell anyone about the way you feel which includes the possibility that a few of the ones whom you tell would offer you emotional support give this to yourselfAlso consider to make a goal of eventually telling someone whom you are reasonably sure would understand and empathize about your depressionThis will help alleviate the sense of shame unworthiness and pervasive guilt which often comes along with depressionSending you good luck
"illness, never go away, life will never change, feel alone, no one, overcome pain, learn to be happy, alone",Is it possible that even though your illness is chronic that it goes through phases in which you are more comfortable and that it requires less focus from you than at other timesI think the idea of having a lifelong illness is frustrating and can be depressing to think about  Thoughts are not necessarily the truth of what will actually happen thoughIllness makes negative situations look worse so be sure you are concentrating on specific areas of your life and not just assuming they will work out badly because you are illOne way to be happy alone is to love and appreciate nurture and be kind to yourselfThis frame of mind may generate new answers to find ways of being among other people too
